tag,release_date,frontier_score,best_model,best_family,best_model_release_date,is_new_frontier
Quantitative-Formal,2023-02-24,0.002886356159511549,LLaMA-13B,Llama,2023-02-24,True
Logical-Control,2023-02-24,0.002901711686727993,LLaMA-13B,Llama,2023-02-24,True
Abstraction-Learning,2023-02-24,0.0028935258254657883,LLaMA-13B,Llama,2023-02-24,True
Search-Load,2023-02-24,0.0028715111877470794,LLaMA-13B,Llama,2023-02-24,True
Coding,2023-02-24,0.0010843744564476847,LLaMA-13B,Llama,2023-02-24,True
Science,2023-02-24,0.002479764914385926,LLaMA-13B,Llama,2023-02-24,True
Quantitative-Formal,2023-03-14,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,True
Logical-Control,2023-03-14,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,True
Abstraction-Learning,2023-03-14,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,True
Search-Load,2023-03-14,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,True
Coding,2023-03-14,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,True
Science,2023-03-14,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,True
Quantitative-Formal,2023-03-15,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-03-15,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-03-15,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-03-15,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-03-15,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-03-15,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,False
Quantitative-Formal,2023-04-24,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-04-24,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-04-24,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-04-24,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-04-24,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-04-24,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,False
Quantitative-Formal,2023-05-05,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-05-05,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-05-05,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-05-05,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-05-05,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-05-05,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,False
Quantitative-Formal,2023-06-13,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-06-13,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-06-13,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-06-13,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-06-13,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-06-13,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,False
Quantitative-Formal,2023-06-22,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-06-22,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-06-22,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-06-22,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-06-22,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-06-22,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,False
Quantitative-Formal,2023-06-24,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-06-24,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-06-24,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-06-24,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-06-24,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-06-24,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,False
Quantitative-Formal,2023-07-05,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-07-05,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-07-05,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-07-05,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-07-05,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-07-05,0.003975530001707242,gpt-4-0314,GPT,2023-03-14,False
Quantitative-Formal,2023-07-18,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-07-18,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-07-18,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-07-18,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-07-18,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-07-18,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,True
Quantitative-Formal,2023-09-06,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
Logical-Control,2023-09-06,0.004169770196089025,gpt-4-0314,GPT,2023-03-14,False
Abstraction-Learning,2023-09-06,0.004173416048098622,gpt-4-0314,GPT,2023-03-14,False
Search-Load,2023-09-06,0.004142881929934471,gpt-4-0314,GPT,2023-03-14,False
Coding,2023-09-06,0.0022903020573511635,gpt-4-0314,GPT,2023-03-14,False
Science,2023-09-06,0.004029215004816983,Llama-2-70b-hf ,Llama,2023-07-18,False
Quantitative-Formal,2023-09-27,0.004179380820717972,gpt-4-0314,GPT,2023-03-14,False
