id,Model,Version release date,Hugging Face developer id,Link,Notes,benchmarks/runs,Display name,Unique display name
Qwen3-235B-A22B-Instruct,,2025-05-15,Qwen,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct/tree/main,,,,
Qwen3-0.6B,,2025-05-15,Qwen,,,,,
Qwen3-1.7B,,2025-05-15,Qwen,,,,,
Qwen3-4B,,2025-05-15,Qwen,,,,,
Qwen3-8B,,2025-05-15,Qwen,,,,,
Qwen3-14B,,2025-05-15,Qwen,,,,,
Qwen3-235B-A22B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-235B-A22B (Thinking)
Qwen3-0.6B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-0.6B (Thinking)
Qwen3-1.7B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-1.7B (Thinking)
Qwen3-4B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-4B (Thinking)
Qwen3-8B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-8B (Thinking)
Qwen3-14B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-14B (Thinking)
Qwen3-32B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-32B (Thinking)
Qwen3-30B-A3B-Thinking,,2025-05-15,Qwen,,,,,Qwen3-30B-A3B (Thinking)
Qwen1.5-1.8B,,2024-05-05,Qwen,,,,,
Qwen1.5-72B,,2024-05-05,Qwen,,,,,
Qwen1.5-110B,,2024-05-05,Qwen,,,,,
Qwen1.5-0.5B-Chat,,2024-05-05,Qwen,,,,,
Qwen1.5-1.8B-Chat,,2024-05-05,Qwen,,,,,
Qwen2-0.5B,,2024-09-10,Qwen,,,,,
Qwen2-1.5B,,2024-09-10,Qwen,,,,,
Qwen2-7B,,2024-09-10,Qwen,,,,,
Qwen2-72B,,2024-09-10,Qwen,,,,,
Qwen2-57B-A14B,,2024-09-10,Qwen,,,,,
Qwen2-0.5B-Instruct,,2024-09-10,Qwen,,,,,
Qwen2-1.5B-Instruct,,2024-09-10,Qwen,,,,,
Qwen2-57BA14B-Instruct,,2024-09-10,Qwen,,,,,
Qwen2.5-0.5B,,2024-01-06,Qwen,,,,,
Qwen2.5-1.5B,,2024-01-06,Qwen,,,,,
Qwen2.5-3B,,2024-01-06,Qwen,,,,,
Qwen2.5-7B,,2024-01-06,Qwen,,,,,
Qwen2.5-14B,,2024-01-06,Qwen,,,,,
Qwen2.5-32B,,2024-01-06,Qwen,,,,,
Qwen2.5-Plus,,2024-01-06,Qwen,,,,,
Qwen2.5-Turbo,,2024-01-06,Qwen,,,,,
Qwen2.5-0.5B-Instruct,,2024-01-06,Qwen,,,,,
Qwen2.5-1.5B-Instruct,,2024-01-06,Qwen,,,,,
Qwen2.5-3B-Instruct,,2024-01-06,Qwen,,,,,
Qwen2.5-Plus-Instruct,,2024-01-06,Qwen,,,,,
Qwen2.5-Turbo-Instruct,,2024-01-06,Qwen,,,,,
Qwen2.5-VL-7B-Instruct,Qwen2.5-7B,2024-09-19,Qwen,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,,,,Qwen2.5-VL-7B
Qwen2.5-VL-32B-Instruct,Qwen2.5-32B,2024-09-19,Qwen,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct,,,,Qwen2.5-VL-32B
Qwen2.5-Omni-7B,,2025-03-31,Qwen,,,,,
Qwen3-Next-80B-A3B-Instruct,,2025-09-12,Qwen,,,,,
Qwen3-Next-80B-A3B-Thinking,,2025-09-12,Qwen,,,,,
Qwen3-VL-4B-Instruct,,2025-10-22,Qwen,,,,,
Qwen3-VL-8B-Instruct,,2025-10-22,Qwen,,,,,
Qwen3-VL-32B-Instruct,,2025-10-22,Qwen,,,,,
Qwen3-VL-30B-A3B-Instruct,,2025-10-22,Qwen,,,,,
Qwen3-VL-235B-A22B-Instruct,,2025-10-22,Qwen,,,,,
Qwen3-VL-4B-Thinking,,2025-10-22,Qwen,,,,,
Qwen3-VL-8B-Thinking,,2025-10-22,Qwen,,,,,
Qwen3-VL-32B-Thinking,,2025-10-22,Qwen,,,,,
Qwen3-VL-30B-A3B-Thinking,,2025-10-22,Qwen,,,,,
Qwen3-VL-235B-A22B-Thinking,,2025-10-22,Qwen,,,,,
