benchmark_id,benchmark_name,estimated_difficulty,slope,mask
0,AI2D,"[-0.60389274, -30.0156, -0.04785821, -1.0436405, 0.2473444, -0.5084651, 0.3674279, 0.47970754, 1.086598, -0.6000148, -0.22106397, 0.5420866, -0.4278407, -0.41987458, -0.9385205, 0.037986536, 0.2363622, -0.4593127, -0.4976724, 0.11282756, -0.9401244, -0.52194977, -0.20897295, -0.17131682, -0.31508937, -0.13314742, 0.17106073, -0.19639805, -0.51361763, 0.31957766]",1.0,"[-6.2437005043029785, 4.915890693664551, -9.856447219848633, -6.659531116485596, -9.784802436828613, -3.9359970092773438, 0.12515664100646973, -10.060713768005371, -0.9344484806060791, -0.5792558193206787, -2.099123239517212, -11.562353134155273, -8.619728088378906, -6.165079593658447, -9.02439022064209, -9.276994705200195, -9.24301815032959, -1.7221180200576782, 0.13938333094120026, -0.15615807473659515, 4.427344799041748, -10.342412948608398, -7.850139617919922, -0.4465768337249756, -8.669527053833008, -11.634383201599121, -8.53536605834961, -10.271027565002441, 1.5296746492385864, -9.120277404785156]"
1,AIME 2024,"[0.38412175, 0.6843682, -0.2361941, -0.8156005, -0.009295985, -0.008682716, 0.3335688, -0.38378984, -0.09444694, 0.188042, -0.039861675, -94.62987, -0.63348114, -0.05167762, -0.49116188, 0.017353043, 0.20409153, -0.5098358, -0.18269812, 0.27467287, -0.7232969, -0.6232263, 0.31048983, -0.17314811, -0.20731167, -0.054474037, -0.1403341, 0.025655141, -0.39963466, 0.3988157]",1.0,"[5.796872615814209, -11.294154167175293, -11.370722770690918, -10.584587097167969, -11.180411338806152, -10.968369483947754, -11.253592491149902, -10.698322296142578, 4.48106050491333, -10.861360549926758, -11.104825973510742, -9.614328384399414, -11.462714195251465, -11.203567504882812, -10.6187105178833, -11.135968208312988, -11.176935195922852, -10.890496253967285, -10.687625885009766, -11.548404693603516, -10.712994575500488, -10.804659843444824, -10.629926681518555, -11.333730697631836, -10.893444061279297, -11.078520774841309, -10.69699478149414, -11.510820388793945, -10.70390796661377, -10.991056442260742]"
2,AIME 2025,"[-139.43271, 0.52879065, -0.39186233, -0.978105, -0.09278505, 0.020997899, 0.35346696, -0.1946014, 0.47426805, 0.18049179, 0.15533449, 0.4089796, -0.42020208, -0.123822786, -0.41505226, 0.10705145, 0.09872294, -0.48175222, -0.2649859, 0.26159883, -0.76331615, -0.43482378, 0.14508133, -0.30625847, -0.3079227, 0.18211292, -0.25825033, 0.11251466, -0.27081233, 0.29994953]",1.0,"[4.614757061004639, -11.143301010131836, -10.454105377197266, -8.789206504821777, -9.734756469726562, -10.626225471496582, -10.81075382232666, -11.209012031555176, 5.793532371520996, -1.920435905456543, -10.89017391204834, -10.59640121459961, -10.176467895507812, -10.990129470825195, -10.14544677734375, -9.717659950256348, -10.652169227600098, -9.360167503356934, -10.000048637390137, -11.17806339263916, -9.943574905395508, -9.488534927368164, -10.201639175415039, -10.937917709350586, -10.521622657775879, -10.7130708694458, -10.657320976257324, -10.98757553100586, -0.43035075068473816, -11.097190856933594]"
3,AIME 2026,"[0.69004107, 0.66998273, -0.16160056, -1.5173758, 0.078684196, 1.5374926, -0.6182355, 0.012204924, 4.319325, -5.2480626, -0.36704436, 0.3962736, 0.13864182, -2.9023116, 0.46937564, 0.5155354, 0.14142387, 0.25202438, 0.43848792, -0.30231962, 0.3906617, -0.3209644, -0.26778176, -0.5466947, 1.6707927, 12.773384, -0.61116767, 0.22313489, -1.3164383, 0.87398547]",1.0,"[-7.317691802978516, -5.929051399230957, -4.459977626800537, 4.08815860748291, -7.430611610412598, -7.736665725708008, -5.7967658042907715, -7.0890398025512695, 2.835441827774048, 6.927722454071045, -6.561826229095459, -8.169095993041992, -4.597700595855713, -6.6342668533325195, -8.026121139526367, -1.426169753074646, -5.8179240226745605, -3.3374335765838623, -7.805963039398193, -9.70858097076416, -5.548977851867676, -8.016998291015625, -6.455849647521973, -6.338547706604004, -6.679945945739746, -9.891501426696777, -5.433627605438232, 3.291123628616333, -3.4423751831054688, -7.986268997192383]"
4,ANLI,"[-2.1008255, 0.5213598, -0.5212873, -0.502733, -0.29555887, -0.06204966, 0.78835046, -0.6132974, -0.56879675, -2.7472157, 0.05444186, 0.42387676, -0.62977177, -0.5877916, -0.51984584, -0.3735905, 0.26528752, -0.2617212, -0.6569563, 0.2569636, -1.8537086, -0.7762194, 0.2621191, -0.25295928, 0.4445933, -58.644394, -0.40527648, -0.106079265, -0.9332882, 1.3502623]",1.0,"[-3.202334403991699, 0.21091228723526, -4.779380798339844, -0.1851656138896942, 1.3246774673461914, 2.2673795223236084, 1.4242148399353027, 0.03183911368250847, 1.4491709470748901, 0.494453102350235, 0.9140823483467102, 0.8505712151527405, 2.022338390350342, -3.3297390937805176, 3.1807353496551514, 2.391779899597168, 1.4336532354354858, -0.8613799214363098, -6.674373626708984, 2.277137517929077, 3.3937246799468994, 0.026317449286580086, -1.755803108215332, 2.4200692176818848, 1.2410824298858643, 0.729404628276825, 2.5586864948272705, 1.580005407333374, 2.0369746685028076, 2.0573337078094482]"
5,ARC AI2,"[36.31747, 0.6220513, 0.47392854, -1.7807943, 0.24616577, -0.077663064, -1.5839502, 0.36173105, -0.8484663, -0.16493805, 0.063216, -0.17466012, -0.7289239, -1.7725866, -0.033297107, -0.071744464, -1.4522089, -0.74806285, 0.23898885, 0.62460846, -2.0655422, -0.023333179, 0.530818, 0.030049456, -0.095606156, 0.5972398, -0.34205222, -0.873812, 0.881666, 0.5252189]",1.0,"[-13.011836051940918, -10.837600708007812, -11.09256649017334, 4.767732620239258, -10.830988883972168, -10.126862525939941, -9.150428771972656, -10.451970100402832, -1.3517950773239136, -11.072073936462402, -10.601954460144043, -10.571452140808105, -5.705689907073975, -11.19841480255127, -9.955083847045898, -10.190539360046387, -10.96789836883545, -10.059117317199707, -11.098893165588379, -11.700284957885742, 4.989384174346924, -10.692296028137207, -11.026284217834473, -10.467219352722168, -9.950957298278809, -10.545132637023926, -10.615836143493652, -10.11074161529541, -10.487272262573242, -10.858904838562012]"
6,ARC-AGI,"[-0.28723285, 0.7497145, -0.043116804, -0.8611078, -0.4680261, -0.6239386, -0.4798284, -0.025668522, 2.5507147, 0.42953718, 0.47308052, 0.6296523, -0.0478874, 0.9005543, -0.5831495, -0.057198133, 0.17284317, -0.17123003, -0.5612877, 0.5544084, 0.23958126, -0.30077657, 0.12795046, -0.07763178, 0.1609675, 0.0016280275, 39.19589, -0.13258374, -0.4275602, 0.8714365]",1.0,"[-5.363813877105713, -9.819470405578613, -2.191110134124756, -9.319856643676758, -9.718961715698242, -9.567336082458496, -9.121243476867676, 2.6394944190979004, 5.070940971374512, -10.065999984741211, -9.072040557861328, -9.579188346862793, -10.418068885803223, -8.970423698425293, -9.605669975280762, -4.983654022216797, -9.887226104736328, -9.24317741394043, -9.866167068481445, -9.799201965332031, -9.353531837463379, -10.114517211914062, -9.609857559204102, -9.142915725708008, -9.478466987609863, -9.580788612365723, -6.817290306091309, -9.954504013061523, -9.343329429626465, -8.890583992004395]"
7,ARC-AGI 2,"[0.5892898, 0.5056942, -0.3964389, -0.61613864, -0.20331287, -0.043468084, 0.063254654, -0.39198115, 5.0044127, -0.12578109, 0.1604594, 0.24411833, -0.29170993, -0.27235386, -0.11213641, -0.17606537, 0.48277733, -0.50112164, -0.1893194, 0.08433933, -0.3259876, 52.68658, 0.31425473, -0.4043205, -0.030799935, 0.08630111, -0.26886904, 0.1441119, -0.2278712, 0.39243534]",1.0,"[-3.917494773864746, -5.312275409698486, -4.79423713684082, -4.305344581604004, -3.6620569229125977, -4.639524936676025, -4.3773932456970215, -1.821995735168457, 15.747541427612305, -2.467414379119873, -4.3688836097717285, -4.65842342376709, -4.023250579833984, -4.650716781616211, -6.865979194641113, -5.399557113647461, -5.21128511428833, -2.962599515914917, -5.048728942871094, -5.362243175506592, -2.4620707035064697, -3.8270881175994873, -2.416876792907715, -5.000675201416016, -4.005884647369385, -4.365987777709961, -5.3517680168151855, -2.372596502304077, -3.650428295135498, -5.806667327880859]"
8,ARC-C,"[-0.84104335, 0.5244256, -0.32160005, -1.0036055, 0.23603173, -0.102754846, 0.38250858, -0.11935003, -0.9126151, -1.9935182, 0.3154411, 0.548317, 109.84155, 0.06839159, -0.2468217, 0.050572995, 0.2310003, -0.4059825, -0.2818205, 0.18845795, -1.3367712, -0.73633885, -0.1469702, -0.38165584, -0.38517302, 0.11601466, -0.2700409, 0.10730983, -0.48126858, 0.5725191]",1.0,"[-11.732582092285156, -9.326047897338867, -10.17763900756836, 5.563416957855225, -11.564409255981445, -10.815337181091309, -11.060325622558594, -10.462553024291992, -11.79970932006836, -8.649537086486816, -11.23630142211914, -10.7545747756958, -13.515765190124512, -10.433408737182617, -10.84404182434082, -10.988558769226074, -10.04967975616455, -9.822385787963867, -10.787915229797363, -11.6598539352417, 5.1296868324279785, -0.8618274331092834, -8.87355899810791, -10.406304359436035, -10.875995635986328, -11.003339767456055, -11.077619552612305, -10.898813247680664, -10.24734115600586, -10.908422470092773]"
9,Aider polyglot,"[0.5515961, 0.5745885, -0.45031705, -0.47033632, -0.1304078, -0.22097172, 0.7041387, -1.0676957, 0.62962353, 0.41856003, 0.26331976, 0.57476974, -0.15568724, 0.42311504, -0.6444535, -0.20987579, -42.545372, -0.57234323, -0.51029426, -0.09914293, -0.24042255, -0.45843506, 0.23189023, -0.67726475, -0.25168738, -0.06798925, -0.075863466, 0.18703206, -0.17824754, 0.2578693]",1.0,"[0.6066800355911255, -11.09349250793457, -7.654318809509277, -7.215770244598389, -7.6087141036987305, -9.661171913146973, -10.700212478637695, -6.627800941467285, 3.4228572845458984, -9.058736801147461, -11.170724868774414, -10.899748802185059, -11.972591400146484, -10.87646484375, -10.561843872070312, -11.320836067199707, -2.7410454750061035, -10.350318908691406, 2.5109894275665283, -10.934654235839844, -9.839486122131348, 0.3056006133556366, -8.07096004486084, -6.642995357513428, -9.582382202148438, -12.229899406433105, -0.05171738192439079, 0.9399484992027283, -8.092732429504395, -10.956174850463867]"
