model_id,model,estimated_capability
0,Claude Mythos Preview,"[2.0018876, 0.8168928, 4.91533, 0.25133398, 0.28172567, 0.047978893, 1.5090662, 0.44231188, 1.0646291, 0.14886245, 0.37982118, 0.9771828, 0.21297543, 0.069532946, 0.8270458, 0.53768235, 1.8215762, 0.87865645, 7.1652584, -0.21924114]"
1,DeepSeek-R1,"[-1.3509592, 0.22552308, 1.4437453, -0.07584588, 0.3617764, -0.19726424, -0.024627956, 0.1911851, 0.3716729, 0.042926, -0.043076538, -0.25739276, 0.13620178, -0.09717964, -0.32743248, -0.29891682, 1.2010484, 0.59594685, 1.942613, 0.2910237]"
2,DeepSeek-R1-0528,"[-1.0568856, 0.03501587, 1.999261, 0.2214738, 0.46713814, -0.15725246, 0.17657505, -0.51862967, 0.4858535, 0.41136888, -0.023741035, 0.22964875, 0.57085437, 0.39990094, 0.3796457, 1.4565324, 1.1972243, 0.20407104, 0.84333456, 0.095829085]"
3,DeepSeek-R1-Distill-Llama-70B,"[-0.0041133384, -0.27896926, 1.0849508, 0.026818825, 0.30822366, 0.1479004, 0.022718176, 0.104109205, 0.51152855, 0.3440706, 0.09622424, 0.20783341, 0.049433082, 0.34804317, -0.046573564, -0.096714586, 0.7043051, 0.017899377, -0.14827009, 0.15386283]"
4,DeepSeek-R1-Distill-Llama-8B,"[0.13450249, 0.10824259, -0.13352108, -0.03290992, -0.33136317, -0.22644977, -0.22318435, 0.025102984, -0.027245594, 0.37488222, 0.106359586, -0.36160088, -0.39604723, -0.15189572, -0.30138946, -0.52105856, 0.3118205, 0.30694014, -1.673654, 0.04517011]"
5,DeepSeek-R1-Distill-Qwen-1.5B,"[-0.03991613, -0.22457069, -0.99254656, 0.3075794, 0.5379732, -0.19400497, -0.3632832, 0.034845907, 0.6655027, -0.16080923, -0.115536205, -0.27623716, -0.6184478, -0.1884844, -0.93955576, -0.12287045, 1.110357, 0.2801635, -3.132174, -0.021296915]"
6,DeepSeek-R1-Distill-Qwen-14B,"[-0.17261449, 0.12374648, 0.744938, 0.33061466, -0.009771024, -0.29359207, 0.14344943, 0.084477566, 0.5845922, -0.17709321, 0.08238917, 0.1938119, -0.94423956, 0.33408847, -0.4390492, -0.48453137, 0.62929195, 0.30786428, -0.5530295, 0.079018205]"
7,DeepSeek-R1-Distill-Qwen-32B,"[-0.5474288, 0.31904, 0.8123778, 0.008445434, 0.073362865, 0.059150163, -0.4086617, 0.17649008, 0.5172564, 0.35541162, 0.27715614, -0.3006968, -1.0645026, 0.10406258, -0.80348814, -0.054822233, 0.9391356, -0.15211447, -0.09113639, 0.23279399]"
8,DeepSeek-V2.5,"[-1.1399908, -0.7588184, -1.897342, -0.18219976, -1.4442896, -0.54207563, 1.0128851, 1.328919, 0.82540894, 0.45939484, 0.18548343, -0.095324025, 0.18913361, 0.54704773, 1.3599639, 0.08131343, 1.3321283, -0.012324294, 0.76787376, 0.21094908]"
9,DeepSeek-V3,"[-0.24551134, 0.55339015, -0.37102726, -0.19255306, -0.15561746, 0.081438154, 0.24617085, 0.20934914, -0.036991343, -0.2866304, 0.48356935, -0.20612514, -0.3931674, 0.10536468, 0.4104466, 0.09190794, 0.851705, 1.3485574, 1.0897486, -0.27930257]"
10,DeepSeek-V3-0324,"[-0.4811462, -0.014445895, 0.45482093, 0.36492395, -0.1562733, -0.34948277, -0.156774, -0.16657722, 0.10101302, -0.19383115, -0.22471046, -0.26651603, 0.35218987, -0.18019982, 0.72495574, -0.22725861, 0.69854313, -0.14263098, 1.5095911, 0.29856396]"
11,DeepSeek-V3.1,"[0.026939753, 0.06790862, 0.7346243, 0.27622405, 0.3564107, 0.034474444, -0.29516676, -0.2170618, 0.24958038, 0.08325516, 0.2860643, -0.2025891, -0.03446533, -0.003690368, 0.20847215, 1.9304297, 1.0513165, 0.13401033, 1.357345, 0.17215428]"
12,DeepSeek-V3.2-Exp,"[0.28010646, -0.07741407, 2.6561177, 0.15775976, 0.21436597, -0.047460094, -0.26765642, 0.023429334, 0.053091954, 0.25383294, 0.2016386, 0.529521, -0.8100925, -0.05015129, 0.39609805, 2.0241423, 0.99523854, -0.03988061, 0.7313068, -0.10554362]"
