tag,n_active_benchmarks,n_total_benchmarks,n_all_benchmarks,active_ratio,score_mean,score_std,score_mean_all,score_std_all,tau
Format-Familiarity,51,70,73,0.7285714285714285,2.955015042991335,0.9004519235774427,2.8335760686218285,1.059055772212387,2.5158593369581124
Search-Load,40,72,73,0.5555555555555556,1.11136429012388,0.9272265309926924,1.096140121766019,0.9298706777976087,0.8171789184267364
Logical-Control,40,73,73,0.547945205479452,1.5812595004238803,0.869121382361202,1.5812595004238803,0.869121382361202,1.3205230857155197
Verbal-Language,37,73,73,0.5068493150684932,1.9500255923964533,0.7628651115645108,1.9500255923964533,0.7628651115645108,1.7211660589271
Quantitative-Formal,35,68,73,0.5147058823529411,1.2377249892733022,1.1994932218049754,1.1529493050765007,1.199157707211955,0.7932019929129142
Math,34,64,73,0.53125,0.9216780123004786,0.9668587404614849,0.8080464765374059,0.9546644018346011,0.5216471559870256
Abstraction-Learning,30,72,73,0.4166666666666667,0.9062699413013964,0.9351843355720284,0.8938552845712404,0.9347118489705186,0.6134417298800848
Social-Mind,30,30,73,1.0,0.2973593542147678,0.6718333692575145,0.12220247433483607,0.45485717135114473,0.0
Commonsense,26,49,73,0.5306122448979592,0.43719012108106053,0.6384800413037129,0.2934563826434516,0.5619717117271663,0.1248648691253017
Instruction-Constrained,26,51,73,0.5098039215686274,0.9059904643201768,1.3400116766345185,0.632952242196288,1.1946975732231035,0.2745429702293569
Social-Humanities,25,34,73,0.7352941176470589,0.37784409066517805,0.3230864528915743,0.17598217921391848,0.29007189326346766,0.08896061123487818
Science,25,44,73,0.5681818181818182,0.7691719149190359,0.9146929794228876,0.4636104692662683,0.8037111802413616,0.22249711519385984
Safety,18,19,73,0.9473684210526315,0.1044843506974129,0.13572990048460898,0.027194557030833493,0.08304689350780645,0.0022804889784915593
Coding,16,29,73,0.5517241379310345,1.3026944832417378,1.3292192588603233,0.517508767315211,1.0527247569795182,0.20169134022135554
Multilingual_v1.1,16,31,73,0.5161290322580645,0.7613448652338386,1.1864645845976909,0.32331083318149323,0.8598899923251117,0.06534383548395972
Game-Environment,14,14,73,1.0,0.8400618861687169,1.118405224811138,0.16110775899126079,0.5909907196518904,0.0
Visual,14,14,73,1.0,3.807259106339633,1.1718813515886322,0.7301592806678748,1.584344258652285,0.25485600307218936
